id,title,description,short_description,programming_language,difficulty_level,xp,time_needed_in_hours,topic_id,technology_id,content_area,link,image_url,last_updated_on,nb_of_subscriptions,num_chapters,num_exercises,num_videos,datasets_count,instructors_names,collaborators_names,tracks_titles,prerequisites_titles
1,Introduction to Python,"Python is a general-purpose programming language that is becoming ever more popular for data science. Companies worldwide are using Python to harvest insights from their data and gain a competitive edge. Unlike other Python tutorials, this course focuses on Python specifically for data science. In our Introduction to Python course, you’ll learn about powerful ways to store and manipulate data, and helpful data science tools to begin conducting your own analyses. Start DataCamp’s online Python curriculum now. The videos contain live transcripts, which can be accessed by clicking ""Show transcript"" at the bottom left of the videos. The course glossary can be found on the right in the resources section. To obtain CPE credits you need to complete the course and reach a score of 70% on the qualified assessment. You can navigate to the assessment by clicking on the CPE credits callout on the right.",Master the basics of data analysis with Python in just four hours. This online course will introduce the Python interface and explore popular packages.,python,1,3900,4,10.0,2,Data Science and Analytics,https://www.datacamp.com/courses/intro-to-python-for-data-science,https://assets.datacamp.com/production/course_735/shields/thumb/shield_image_course_735_20250916-1-f5gn6o?1758029766,17/09/2025,6445484,4,46,11,3,Hugo Bowne-Anderson,Vincent Vankrunkelsven; Filip Schouwenaars,Associate Data Scientist  in Python; Data Analyst  in Python; Python Data Fundamentals,
2,Understanding Artificial Intelligence,"Artificial Intelligence (AI) is without any doubt the most breakthrough and omnipresent discipline in today's economy, media, industry, and society at large. This non-technical course will expose you to the basic elements of the rapidly evolving field of AI. Through plenty of hands-on activities and without any coding required, we will uncover together those jargon terms everyone keeps talking about, such as machine learning, deep learning, explainable AI, natural language processing, generative models, and more. We'll also explore a variety of AI applications in everyday life and the AI techniques behind the scenes, how can organizations become AI-driven, and what are the key lessons learned, challenges, and societal implications of AI's unstoppable progress. The videos contain live transcripts you can reveal by clicking ""Show transcript"" at the bottom left of the videos. The course glossary, promotional material and detailed learning objectives can be found on the right in the resources section. To obtain CPE credits you need to complete the course and reach a score of 70% on the qualified assessment. You can navigate to the assessment by clicking on the CPE credits callout on the right.","Learn the basic concepts of Artificial Intelligence, such as machine learning, deep learning, NLP, generative AI, and more.",r,1,3400,2,16.0,7,Artificial Intelligence,https://www.datacamp.com/courses/understanding-artificial-intelligence,https://assets.datacamp.com/production/default/shields/placeholder.png,17/09/2025,294907,4,51,16,1,Iván P.C.,Joe Franklin; Joanne Xiong,AI Business Fundamentals; AI Fundamentals; Data Skills for Business; EU AI Act Fundamentals,
3,Intermediate Python,"Learning Python is crucial for any aspiring data science practitioner. Learn to visualize real data with Matplotlib’s functions and get acquainted with data structures such as the dictionary and pandas DataFrame. This four-hour intermediate course will help you to build on your existing Python skills and explore new Python applications and functions that expand your repertoire and help you work more efficiently. You'll discover how dictionaries offer an alternative to Python lists, and why the pandas dataframe is the most popular way of working with tabular data. In the second chapter of this course, you’ll find out how you can create and manipulate datasets, and how to access them using these structures. Hands-on practice throughout the course will build your confidence in each area. As you progress, you’ll look at logic, control flow, filtering and loops. These functions work to control decision-making in Python programs and help you to perform more operations with your data, including repeated statements. You’ll finish the course by applying all of your new skills by using hacker statistics to calculate your chances of winning a bet. Once you’ve completed all of the chapters, you’ll be ready to apply your new skills in your job, new career, or personal project, and be prepared to move onto more advanced Python learning. The videos contain live transcripts, which can be accessed by clicking ""Show transcript"" at the bottom left of the videos. The course glossary can be found on the right in the resources section. To obtain CPE credits you need to complete the course and reach a score of 70% on the qualified assessment. You can navigate to the assessment by clicking on the CPE credits callout on the right.",Level up your data science skills by creating visualizations using Matplotlib and manipulating DataFrames with pandas.,python,1,7400,4,10.0,2,Data Science and Analytics,https://www.datacamp.com/courses/intermediate-python,https://assets.datacamp.com/production/course_799/shields/thumb/shield_image_course_799_20200228-1-119xpm0?1582886778,17/09/2025,1267422,5,87,18,4,Hugo Bowne-Anderson,Vincent Vankrunkelsven; Filip Schouwenaars,Associate Data Scientist  in Python; Data Analyst  in Python; Python Data Fundamentals,Introduction to Python
4,Understanding Prompt Engineering,"Embark on an immersive journey to master ChatGPT, the groundbreaking conversational language model, and revolutionize your business and creative processes. This comprehensive course covers the essentials of prompt engineering, teaching you to construct clear, specific, and open-ended prompts, and advances into sophisticated techniques like zero-shot, one-shot, and few-shot learning. Furthermore, you'll develop skills to evaluate ChatGPT's responses, ensuring accuracy and relevance critically. This all-encompassing course is your gateway to unlocking the full potential of ChatGPT, enhancing your workflow, and staying ahead in the world of generative AI The videos contain live transcripts, which can be accessed by clicking ""Show transcript"" at the bottom left of the videos. The course glossary can be found on the right in the resources section. To obtain CPE credits you need to complete the course and reach a score of 70% on the qualified assessment. You can navigate to the assessment by clicking on the CPE credits callout on the right.",Learn how to write effective prompts with ChatGPT to apply in your workflow today.,r,1,1500,1,16.0,26,Artificial Intelligence,https://www.datacamp.com/courses/understanding-prompt-engineering,https://assets.datacamp.com/production/default/shields/placeholder.png,17/09/2025,87338,3,29,11,1,Alex Banks,Jasmin Ludolf; Joe Franklin; Jordan Beecher,ChatGPT Fundamentals,
5,Data Manipulation with pandas,"pandas is the world's most popular Python library, used for everything from data manipulation to data analysis. In this course, you'll learn how to manipulate DataFrames, as you extract, filter, and transform real-world datasets for analysis. Using pandas you’ll explore all the core data science concepts. Using real-world data, including Walmart sales figures and global temperature time series, you’ll learn how to import, clean, calculate statistics, and create visualizations—using pandas to add to the power of Python! The videos contain live transcripts, which can be accessed by clicking ""Show transcript"" at the bottom left of the videos. The course glossary can be found on the right in the resources section. To obtain CPE credits you need to complete the course and reach a score of 70% on the qualified assessment. You can navigate to the assessment by clicking on the CPE credits callout on the right.","Learn how to import and clean data, calculate statistics, and create visualizations with pandas.",python,1,4850,4,3.0,2,Data Science and Analytics,https://www.datacamp.com/courses/data-manipulation-with-pandas,https://assets.datacamp.com/production/course_22066/shields/thumb/shield_image_course_22066_20220125-1-1j2lvkm?1643107261,17/09/2025,492541,4,56,15,5,Maggie Matsui; Richie Cotton,Amy Peterson; Adel Nehme; Alex Yarosh; Justin Saddlemyer,Associate Data Scientist  in Python; Data Analyst  in Python; Data Manipulation  in Python; Python Data Fundamentals,Intermediate Python
6,Understanding ChatGPT,"Get ready to take your workflows and business processes to the next level with the groundbreaking conversational language model, ChatGPT! In this course, you'll dive headfirst into the exciting world of generative artificial intelligence (AI) and discover how to wield ChatGPT like a pro. From text summarization, explaining complex concepts, drafting engaging marketing content, and generating and explaining code, you'll learn about the most common applications of ChatGPT. Plus, you’ll be equipped with a framework to evaluate new use cases and determine if ChatGPT is the right solution for your needs. Finally, you'll explore the legal and ethical considerations that come with implementing ChatGPT in various situations. Don't miss out on this opportunity to unlock the full potential of ChatGPT and revolutionize the way you work! The videos contain live transcripts, which can be accessed by clicking ""Show transcript"" at the bottom left of the videos. The course glossary can be found on the right in the resources section. To obtain CPE credits you need to complete the course and reach a score of 70% on the qualified assessment. You can navigate to the assessment by clicking on the CPE credits callout on the right.",Learn how to use ChatGPT. Discover best practices for writing prompts and explore common business use cases for the powerful AI tool.,r,1,1700,1,16.0,26,Artificial Intelligence,https://www.datacamp.com/courses/understanding-chatgpt,https://assets.datacamp.com/production/default/shields/placeholder.png,17/09/2025,368658,2,27,8,1,James Chapman,Amy Peterson,AI Business Fundamentals; AI Fundamentals; ChatGPT Fundamentals,
7,Understanding Data Science,"What is data science, why is it so popular, and why did the Harvard Business Review hail it as the “sexiest job of the 21st century”? In this non-technical course, you’ll be introduced to everything you were ever too afraid to ask about this fast-growing and exciting field, without needing to write a single line of code. Through hands-on exercises, you’ll learn about the different data scientist roles, foundational topics like A/B testing, time series analysis, and machine learning, and how data scientists extract knowledge and insights from real-world data. So don’t be put off by the buzzwords. Start learning, gain skills in this hugely in-demand field, and discover why data science is for everyone! The videos contain live transcripts you can reveal by clicking ""Show transcript"" at the bottom left of the videos. The course glossary, promotional material and detailed learning objectives can be found on the right in the resources section. To obtain CPE credits you need to complete the course and reach a score of 70% on the qualified assessment. You can navigate to the assessment by clicking on the CPE credits callout on the right.",An introduction to data science with no coding involved.,r,1,2800,2,17.0,7,Data Science and Analytics,https://www.datacamp.com/courses/understanding-data-science,https://assets.datacamp.com/production/course_23983/shields/thumb/shield_image_course_23983_20250418-1-rm3zfs?1744970755,17/09/2025,778781,4,47,15,1,Hadrien Lacroix; Sara Billen; Lis Sulmont,,Understanding Data Topics,
8,Introduction to AI Agents,"Unlock the power of AI agents and transform how you work with agentic systems. This beginner-friendly course is designed for anyone eager to understand the core concepts behind agentic AI systems, without writing a single line of code. You'll learn how AI agents differ from traditional automation tools and chatbots, explore their key components like memory, tool use, and orchestration, and discover when and how to implement agent-based solutions for real-world problems. From customer support agents to coding assistants, this course uses relatable examples to demystify what makes AI systems agentic, how they reason, and how to use and build AI agents responsibly. Enroll now, and take your first step toward engaging with the next frontier of AI. The videos contain live transcripts, which can be accessed by clicking ""Show transcript"" at the bottom left of the videos. The course glossary can be found on the right in the resources section. To obtain CPE credits you need to complete the course and reach a score of 70% on the qualified assessment. You can navigate to the assessment by clicking on the CPE credits callout on the right.","Learn the fundamentals of AI agents, their components, and real-world use—no coding required.",r,1,1850,2,16.0,7,Artificial Intelligence,https://www.datacamp.com/courses/introduction-to-ai-agents,https://assets.datacamp.com/production/default/shields/placeholder.png,17/09/2025,14308,3,27,10,1,Adel Nehme,James Chapman,AI Agent Fundamentals,Generative AI for Business
9,Supervised Learning with scikit-learn,"Grow your machine learning skills with scikit-learn and discover how to use this popular Python library to train models using labeled data. In this course, you'll learn how to make powerful predictions, such as whether a customer is will churn from your business, whether an individual has diabetes, and even how to tell classify the genre of a song. Using real-world datasets, you'll find out how to build predictive models, tune their parameters, and determine how well they will perform with unseen data.",Grow your machine learning skills with scikit-learn in Python. Use real-world datasets in this interactive course and learn how to make powerful predictions!,python,2,4050,4,6.0,2,Data Science and Analytics,https://www.datacamp.com/courses/supervised-learning-with-scikit-learn,https://assets.datacamp.com/production/default/shields/placeholder.png,17/09/2025,220945,4,49,15,4,George Boorman,Amy Peterson; James Chapman; Izzy Weber,Associate AI Engineer for Data Scientists; Associate Data Scientist  in Python; Machine Learning Engineer; Machine Learning Fundamentals in Python; Machine Learning Scientist in Python; Supervised Machine Learning in Python,Introduction to Statistics in Python
10,Introduction to Python for Developers,"Are you eager to dive into the world of programming but don't know where to start? This course is for you, designed specifically for beginners with zero prior experience in programming. Python, is a versatile and powerful language, perfect for software development! This course introduces you to key concepts, from creating code comments and performing calculations to discovering Python's built-in data types including floats, strings, integers, and boolean values! You'll learn how to store information in variables using a variety of data structures such as lists, dictionaries, sets, and tuples. You'll progress into comparison operators, using them to develop a customized workflow to conditionally execute code depending on whether conditions are met. The course wraps up by introducing for and while loops, which are essential for iterating over data and executing tasks!",Master the fundamentals of programming in Python. No prior knowledge required!,python,1,3250,3,10.0,2,Emerging Technologies,https://www.datacamp.com/courses/introduction-to-python-for-developers,https://assets.datacamp.com/production/default/shields/placeholder.png,17/09/2025,92613,3,39,12,0,George Boorman,Arne Warnke; Amina Edmunds; Sani Yusuf,Associate Python Developer; Building APIs in Python; Data Engineer in Python; Python Programming Fundamentals,
